hodges_list,p_no,preferred_name,date,verbatim_name,count
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-04,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-05,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-08,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-13,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-14,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-17,Cydia pomonella (L.),4
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-19,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-26,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-03,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-05,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-07,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-13,Cydia pomonella (L.),4
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-14,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-16,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-22,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-24,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-26,Cydia pomonella (L.),14
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-28,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-30,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-01,Cydia pomonella (L.),5
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-04,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-06,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-11,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-13,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-16,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-19,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-21,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-23,Cydia pomonella (L.),6
