hodges_list,p_no,preferred_name,date,verbatim_name
2120.1999999999998,59a0985,Chionodes restio Hodges,2010-06-14,Chionodes restio Hodges
2120.1999999999998,59a0985,Chionodes restio Hodges,2010-07-29,Chionodes restio Hodges
2120.1999999999998,59a0985,Chionodes restio Hodges,2010-09-20,Chionodes restio Hodges
2120.1999999999998,59a0985,Chionodes restio Hodges,2010-10-06,Chionodes restio Hodges
2113,59a0921,Chionodes sabinianae Powell,2010-05-31,Chionodes sabinianae Powell
2120,59a0974,Chionodes trichostola (Meyrick),2010-09-02,Chionodes trichostola (Meyr.)
2181A,NA,Filatima sp/spp. (brown & gray),2010-07-29,Filatima sp./spp. (brown and grey)
2181A,NA,Filatima sp/spp. (brown & gray),2010-08-19,Filatima sp./spp. (brown and grey)
2181A,NA,Filatima sp/spp. (brown & gray),2010-09-02,Filatima sp./spp. (brown and grey)
2181A,NA,Filatima sp/spp. (brown & gray),2010-09-20,Filatima sp./spp. (brown and grey)
2181A,NA,Filatima sp/spp. (brown & gray),2010-10-06,Filatima sp./spp. (brown and grey)
2186B,59a1155.2,"Aroga  sp. 2 (large, reddish brn, w.brn. spots and margin; alleriella-type genitalia)",2010-09-02,"Aroga  sp. 2 (large, reddish brn, w.brn. spots and margin)"
2294,59a0542,Dichomeris delotella Busck,2010-08-19,Dichomeris delotella (Busck)
2294,59a0542,Dichomeris delotella Busck,2010-09-02,Dichomeris delotella (Busck)
2222A,59a0463.1,Aproaerema sp 1 (black),2010-07-29,"gelechiid sp. 1, small, black narrow wings"
2366,36a0180,Plutella xylostella (Linnaeus),2010-09-02,Plutella xylostella (L.)
2366,36a0180,Plutella xylostella (Linnaeus),2010-11-02,Plutella xylostella (L.)
2372,36a0147,Ypsolopha cervella (Walsingham),2010-05-31,Ypsolopha cervella (Wlsm.)
2372,36a0147,Ypsolopha cervella (Walsingham),2010-06-14,Ypsolopha cervella (Wlsm.)
2372,36a0147,Ypsolopha cervella (Walsingham),2010-06-24,Ypsolopha cervella (Wlsm.)
2427,36a0129,Zelleria haimbachi Busck,2010-06-14,Zelleria haimbachi Bsk.
2432,36a0133,Zelleria semitincta Meyrick,2010-06-14,Zelleria ?semitincta Meyr.
2432,36a0133,Zelleria semitincta Meyrick,2010-07-29,Zelleria ?semitincta Meyr.
2489.1,40a0006,Tinagma californicum Gaedike,2010-04-29,Tinagma californicum Gaedike
2489.1,40a0006,Tinagma californicum Gaedike,2010-05-13,Tinagma californicum Gaedike
2693b,53a0029c.,Prionoxystus robiniae mixtus Barnes & Benjamin,2010-05-13,Prionoxystus robiniae mixtus B. & Benj.
2693b,53a0029c.,Prionoxystus robiniae mixtus Barnes & Benjamin,2010-05-31,Prionoxystus robiniae mixtus B. & Benj.
2896,51a0725,Retinia sabiniana (Kearfott),2010-05-13,Retinia (Petrova) sabiniana (Kft.)
2896,51a0725,Retinia sabiniana (Kearfott),2010-05-31,Retinia (Petrova) sabiniana (Kft.)
2896,51a0725,Retinia sabiniana (Kearfott),2010-07-29,Retinia (Petrova) sabiniana (Kft.)
2896,51a0725,Retinia sabiniana (Kearfott),2010-08-19,Retinia (Petrova) sabiniana (Kft.)
2896,51a0725,Retinia sabiniana (Kearfott),2010-09-02,Retinia (Petrova) sabiniana (Kft.)
2896,51a0725,Retinia sabiniana (Kearfott),2010-09-20,Retinia (Petrova) sabiniana (Kft.)
2896,51a0725,Retinia sabiniana (Kearfott),2010-10-06,Retinia (Petrova) sabiniana (Kft.)
3107,51a1004.1,Pelochrista biplagata (Walsingham),2010-09-20,Eucosma  biplagata (Wlsm.)
3141,51a0955.1,Pelochrista canana (Walsingham),2010-05-31,Pelochrista rorana (Kft.)
3141,51a0955.1,Pelochrista canana (Walsingham),2010-06-14,Pelochrista rorana (Kft.)
3172,51a1065,Epiblema strenuana (Walker),2010-05-13,Epiblema strenuana (Wlk.)
3220,51a1121.1,Sonia vovana (Kearfott),2010-09-20,Sonia vovana (Kft.)
3256,51a1163,Pseudexentera habrosana (Heinrich),2010-02-10,Pseudexentera habrosana (Heinrich)
3256,51a1163,Pseudexentera habrosana (Heinrich),2010-02-25,Pseudexentera habrosana (Heinrich)
3256,51a1163,Pseudexentera habrosana (Heinrich),2010-03-15,Pseudexentera habrosana (Heinrich)
3323,51a1235,Epinotia emarginana (Walsingham),2010-02-10,Epinotia emarginana (Wlsm.)
3323,51a1235,Epinotia emarginana (Walsingham),2010-03-15,Epinotia emarginana (Wlsm.)
3323,51a1235,Epinotia emarginana (Walsingham),2010-03-24,Epinotia emarginana (Wlsm.)
3323,51a1235,Epinotia emarginana (Walsingham),2010-06-14,Epinotia emarginana (Wlsm.)
3323,51a1235,Epinotia emarginana (Walsingham),2010-06-24,Epinotia emarginana (Wlsm.)
3350.1,51a1259,Epinotia signiferana Heinrich,2010-11-02,Epinotia signiferana Heinrich
3350.1,51a1259,Epinotia signiferana Heinrich,2010-11-16,Epinotia signiferana Heinrich
3362,51a0650,Ancylis columbiana (McDunnough),2010-05-31,Ancylis columbiana (McD.)
3362,51a0650,Ancylis columbiana (McDunnough),2010-06-14,Ancylis columbiana (McD.)
3389,51a0679,Hystrichophora leonana Walsingham,2010-05-31,Hystrichophora leonana Wlsm.
